external_question_id,specialty_raw,normalized_specialty_slug,normalized_specialty_title,topic_raw,normalized_topic_label,normalized_topic_slug,mapped_specialty_slug,mapped_curriculum_node_slug,canonical_topic_node_id,mapping_confidence,needs_review,review_reason,suggested_action,mapping_method,review_override_reason,review_group_key,row_number
OBQ04-80,Trauma,trauma,Trauma,"Evaluation, Resuscitation & DCO","Evaluation, Resuscitation & DCO",evaluation-resuscitation-and-dco,trauma,trauma-evaluation-resuscitation-and-dco,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::trauma::evaluation-resuscitation-and-dco::accepted,236
OBQ04-81,Pediatrics,pediatrics,Pediatrics,Tarsal Coalition,Tarsal Coalition,tarsal-coalition,pediatrics,pediatrics-tarsal-coalition,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::pediatrics::tarsal-coalition::accepted,237
OBQ04-82,Recon,recon,Recon,TKA Peroneal Nerve Palsy,TKA Peroneal Nerve Palsy,tka-peroneal-nerve-palsy,recon,recon-tka-peroneal-nerve-palsy,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::recon::tka-peroneal-nerve-palsy::accepted,238
OBQ04-83,Pediatrics,pediatrics,Pediatrics,Slipped Capital Femoral Epiphysis (SCFE),Slipped Capital Femoral Epiphysis (SCFE),slipped-capital-femoral-epiphysis-scfe,pediatrics,pediatrics-slipped-capital-femoral-epiphysis-scfe,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::pediatrics::slipped-capital-femoral-epiphysis-scfe::accepted,239
OBQ04-84,Foot & Ankle,foot-ankle,Foot & Ankle,Diabetic Foot Ulcers,Diabetic Foot Ulcers,diabetic-foot-ulcers,foot-ankle,foot-ankle-diabetic-foot-ulcers,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::foot-ankle::diabetic-foot-ulcers::accepted,240
OBQ04-85.1,Spine,spine,Spine,Cauda Equina Syndrome,Cauda Equina Syndrome,cauda-equina-syndrome,spine,spine-cauda-equina-syndrome,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::spine::cauda-equina-syndrome::accepted,241
OBQ04-86,Hand,hand,Hand,Blood Supply to Hand,Blood Supply to Hand,blood-supply-to-hand,hand,hand-blood-supply-to-hand,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::hand::blood-supply-to-hand::accepted,242
OBQ04-87,Trauma,trauma,Trauma,Leg Compartment Syndrome,Leg Compartment Syndrome,leg-compartment-syndrome,trauma,trauma-leg-compartment-syndrome,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::trauma::leg-compartment-syndrome::accepted,243
OBQ04-88,Trauma,trauma,Trauma,Tibial Plateau Fractures,Tibial Plateau Fractures,tibial-plateau-fractures,trauma,trauma-tibial-plateau-fractures,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::trauma::tibial-plateau-fractures::accepted,244
OBQ04-89,Shoulder & Elbow,shoulder-elbow,Shoulder & Elbow,"Glenohumeral Joint Anatomy, Stabilizer, and Biomechanics","Glenohumeral Joint Anatomy, Stabilizer, and Biomechanics",glenohumeral-joint-anatomy-stabilizer-and-biomechanics,shoulder-elbow,shoulder-elbow-glenohumeral-joint-anatomy-stabilizer-and-biomechanics,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::shoulder-elbow::glenohumeral-joint-anatomy-stabilizer-and-biomechanics::accepted,245
OBQ04-9,Knee & Sports,knee-sports,Knee & Sports,ACL Tear,ACL Tear,acl-tear,knee-sports,knee-sports-acl-tear,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::knee-sports::acl-tear::accepted,246
OBQ04-90,Pediatrics,pediatrics,Pediatrics,Cavovarus Foot in Pediatrics & Adults,Cavovarus Foot in Pediatrics & Adults,cavovarus-foot-in-pediatrics-and-adults,pediatrics,pediatrics-cavovarus-foot-in-pediatrics-and-adults,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::pediatrics::cavovarus-foot-in-pediatrics-and-adults::accepted,247
OBQ04-91,Knee & Sports,knee-sports,Knee & Sports,ACL Tear,ACL Tear,acl-tear,knee-sports,knee-sports-acl-tear,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::knee-sports::acl-tear::accepted,248
OBQ04-92,Recon,recon,Recon,Wear & Osteolysis Basic Science,Wear & Osteolysis Basic Science,wear-and-osteolysis-basic-science,recon,recon-wear-and-osteolysis-basic-science,,0.970,FALSE,,Accepted via manual review override.,reviewed,manually_reviewed_valid_topic,orthobullets::recon::wear-and-osteolysis-basic-science::accepted,249
OBQ04-93,Trauma,trauma,Trauma,Acetabular Fractures,Acetabular Fractures,acetabular-fractures,trauma,trauma-acetabular-fractures,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::trauma::acetabular-fractures::accepted,250
OBQ04-94,Approaches,,,Hip Posterior Approach (Moore or Southern),Hip Posterior Approach (Moore or Southern),hip-posterior-approach-moore-or-southern,,,,0.590,TRUE,Specialty could not be normalized confidently.,Review specialty mapping manually.,import_rule,,orthobullets::unknown::hip-posterior-approach-moore-or-southern::source_anomaly,251
OBQ04-95,Basic Science,basic-science,Basic Science,Rickets,Rickets,rickets,basic-science,basic-science-rickets,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::basic-science::rickets::accepted,252
OBQ04-96,Trauma,trauma,Trauma,Humeral Shaft Nonunion,Humeral Shaft Nonunion,humeral-shaft-nonunion,trauma,trauma-humeral-shaft-nonunion,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::trauma::humeral-shaft-nonunion::accepted,253
OBQ04-97,Hand,hand,Hand,Quadriga Effect,Quadriga Effect,quadriga-effect,hand,hand-quadriga-effect,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::hand::quadriga-effect::accepted,254
OBQ04-98,Pediatrics,pediatrics,Pediatrics,Charcot-Marie-Tooth Disease,Charcot - Marie - Tooth Disease,charcot-marie-tooth-disease,pediatrics,pediatrics-charcot-marie-tooth-disease,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::pediatrics::charcot-marie-tooth-disease::accepted,255
OBQ04-99,Knee & Sports,knee-sports,Knee & Sports,Burners & Stingers,Burners & Stingers,burners-and-stingers,knee-sports,knee-sports-burners-and-stingers,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::knee-sports::burners-and-stingers::accepted,256
OBQ05-1,Basic Science,basic-science,Basic Science,Fracture Healing,Fracture Healing,fracture-healing,basic-science,basic-science-fracture-healing,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::basic-science::fracture-healing::accepted,257
OBQ05-10,Pediatrics,pediatrics,Pediatrics,Olecranon Fractures - Pediatric,Olecranon Fractures - Pediatric,olecranon-fractures-pediatric,pediatrics,pediatrics-olecranon-fractures-pediatric,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::pediatrics::olecranon-fractures-pediatric::accepted,258
OBQ05-100,Recon,recon,Recon,TKA Periprosthetic Fracture,TKA Periprosthetic Fracture,tka-periprosthetic-fracture,recon,recon-tka-periprosthetic-fracture,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::recon::tka-periprosthetic-fracture::accepted,259
OBQ05-101,Pathology,pathology,Pathology,Chemotherapy,Chemotherapy,chemotherapy,pathology,pathology-chemotherapy,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::pathology::chemotherapy::accepted,260
OBQ05-102,Approaches,,,Tibia Posterolateral Approach,Tibia Posterolateral Approach,tibia-posterolateral-approach,,,,0.590,TRUE,Specialty could not be normalized confidently.,Review specialty mapping manually.,import_rule,,orthobullets::unknown::tibia-posterolateral-approach::source_anomaly,261
OBQ05-103,Hand,hand,Hand,Flexor Tendon Injuries,Flexor Tendon Injuries,flexor-tendon-injuries,hand,hand-flexor-tendon-injuries,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::hand::flexor-tendon-injuries::accepted,262
OBQ05-105,Pediatrics,pediatrics,Pediatrics,Cleidocranial Dysplasia (Dysostosis),Cleidocranial Dysplasia (Dysostosis),cleidocranial-dysplasia-dysostosis,pediatrics,pediatrics-cleidocranial-dysplasia-dysostosis,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::pediatrics::cleidocranial-dysplasia-dysostosis::accepted,263
OBQ05-106,Trauma,trauma,Trauma,Humeral Shaft Fractures,Humeral Shaft Fractures,humeral-shaft-fractures,trauma,trauma-humeral-shaft-fractures,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::trauma::humeral-shaft-fractures::accepted,264
OBQ05-107,Basic Science,basic-science,Basic Science,Bone Circulation,Bone Circulation,bone-circulation,basic-science,basic-science-bone-circulation,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::basic-science::bone-circulation::accepted,265
OBQ05-108,Spine,spine,Spine,Pediatric Spondylolysis & Spondylolisthesis,Pediatric Spondylolysis & Spondylolisthesis,pediatric-spondylolysis-and-spondylolisthesis,spine,spine-pediatric-spondylolysis-and-spondylolisthesis,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::spine::pediatric-spondylolysis-and-spondylolisthesis::accepted,266
OBQ05-109,Recon,recon,Recon,THA Leg Length Discrepancy,THA Leg Length Discrepancy,tha-leg-length-discrepancy,recon,recon-tha-leg-length-discrepancy,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::recon::tha-leg-length-discrepancy::accepted,267
OBQ05-110,Trauma,trauma,Trauma,Humeral Shaft Fractures,Humeral Shaft Fractures,humeral-shaft-fractures,trauma,trauma-humeral-shaft-fractures,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::trauma::humeral-shaft-fractures::accepted,268
OBQ05-111,Pathology,pathology,Pathology,Paget's Disease,Paget's Disease,paget-s-disease,pathology,pathology-paget-s-disease,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::pathology::paget-s-disease::accepted,269
OBQ05-112,Spine,spine,Spine,Pediatric Spondylolysis & Spondylolisthesis,Pediatric Spondylolysis & Spondylolisthesis,pediatric-spondylolysis-and-spondylolisthesis,spine,spine-pediatric-spondylolysis-and-spondylolisthesis,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::spine::pediatric-spondylolysis-and-spondylolisthesis::accepted,270
OBQ05-113,Trauma,trauma,Trauma,Tibial Plateau Fractures,Tibial Plateau Fractures,tibial-plateau-fractures,trauma,trauma-tibial-plateau-fractures,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::trauma::tibial-plateau-fractures::accepted,271
OBQ05-114,Basic Science,basic-science,Basic Science,Orthopaedic Implants,Orthopaedic Implants,orthopaedic-implants,basic-science,basic-science-orthopaedic-implants,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::basic-science::orthopaedic-implants::accepted,272
OBQ05-115,Trauma,trauma,Trauma,Tibial Shaft Fractures,Tibial Shaft Fractures,tibial-shaft-fractures,trauma,trauma-tibial-shaft-fractures,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::trauma::tibial-shaft-fractures::accepted,273
OBQ05-116,Spine,spine,Spine,Congenital Scoliosis,Congenital Scoliosis,congenital-scoliosis,spine,spine-congenital-scoliosis,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::spine::congenital-scoliosis::accepted,274
OBQ05-117,Recon,recon,Recon,TKA Coronal Plane Balancing,TKA Coronal Plane Balancing,tka-coronal-plane-balancing,recon,recon-tka-coronal-plane-balancing,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::recon::tka-coronal-plane-balancing::accepted,275
OBQ05-118,Trauma,trauma,Trauma,Tibial Plateau Fractures,Tibial Plateau Fractures,tibial-plateau-fractures,trauma,trauma-tibial-plateau-fractures,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::trauma::tibial-plateau-fractures::accepted,276
OBQ05-119,Spine,spine,Spine,Cervical Radiculopathy,Cervical Radiculopathy,cervical-radiculopathy,spine,spine-cervical-radiculopathy,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::spine::cervical-radiculopathy::accepted,277
OBQ05-12,Spine,spine,Spine,Spinal Cord Injuries,Spinal Cord Injuries,spinal-cord-injuries,spine,spine-spinal-cord-injuries,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::spine::spinal-cord-injuries::accepted,278
OBQ05-120,Pathology,pathology,Pathology,Conventional Intramedullary Osteosarcoma,Conventional Intramedullary Osteosarcoma,conventional-intramedullary-osteosarcoma,pathology,pathology-conventional-intramedullary-osteosarcoma,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::pathology::conventional-intramedullary-osteosarcoma::accepted,279
OBQ05-121,Trauma,trauma,Trauma,Trauma Scoring Systems,Trauma Scoring Systems,trauma-scoring-systems,trauma,trauma-trauma-scoring-systems,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::trauma::trauma-scoring-systems::accepted,280
OBQ05-122,Basic Science,basic-science,Basic Science,Molecular Biology Basics,Molecular Biology Basics,molecular-biology-basics,basic-science,basic-science-molecular-biology-basics,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::basic-science::molecular-biology-basics::accepted,281
OBQ05-123,Pediatrics,pediatrics,Pediatrics,Clubfoot (congenital talipes equinovarus),Clubfoot (congenital talipes equinovarus),clubfoot-congenital-talipes-equinovarus,pediatrics,pediatrics-clubfoot-congenital-talipes-equinovarus,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::pediatrics::clubfoot-congenital-talipes-equinovarus::accepted,282
OBQ05-124,Recon,recon,Recon,THA Periprosthetic Fracture,THA Periprosthetic Fracture,tha-periprosthetic-fracture,recon,recon-tha-periprosthetic-fracture,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::recon::tha-periprosthetic-fracture::accepted,283
OBQ05-125,Pediatrics,pediatrics,Pediatrics,Slipped Capital Femoral Epiphysis (SCFE),Slipped Capital Femoral Epiphysis (SCFE),slipped-capital-femoral-epiphysis-scfe,pediatrics,pediatrics-slipped-capital-femoral-epiphysis-scfe,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::pediatrics::slipped-capital-femoral-epiphysis-scfe::accepted,284
OBQ05-126,Foot & Ankle,foot-ankle,Foot & Ankle,Tibiotalar Impingement,Tibiotalar Impingement,tibiotalar-impingement,foot-ankle,foot-ankle-tibiotalar-impingement,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::foot-ankle::tibiotalar-impingement::accepted,285
OBQ05-127,Trauma,trauma,Trauma,Terrible Triad Injury Elbow,Terrible Triad Injury Elbow,terrible-triad-injury-elbow,trauma,trauma-terrible-triad-injury-elbow,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::trauma::terrible-triad-injury-elbow::accepted,286
OBQ05-128,Basic Science,basic-science,Basic Science,Rheumatoid Arthritis,Rheumatoid Arthritis,rheumatoid-arthritis,basic-science,basic-science-rheumatoid-arthritis,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::basic-science::rheumatoid-arthritis::accepted,287
OBQ05-129,Pediatrics,pediatrics,Pediatrics,Clubfoot (congenital talipes equinovarus),Clubfoot (congenital talipes equinovarus),clubfoot-congenital-talipes-equinovarus,pediatrics,pediatrics-clubfoot-congenital-talipes-equinovarus,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::pediatrics::clubfoot-congenital-talipes-equinovarus::accepted,288
OBQ05-13,Pathology,pathology,Pathology,Impending Fracture & Prophylactic Fixation,Impending Fracture & Prophylactic Fixation,impending-fracture-and-prophylactic-fixation,pathology,pathology-impending-fracture-and-prophylactic-fixation,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::pathology::impending-fracture-and-prophylactic-fixation::accepted,289
OBQ05-130,Hand,hand,Hand,Scaphoid Fracture,Scaphoid Fracture,scaphoid-fracture,hand,hand-scaphoid-fracture,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::hand::scaphoid-fracture::accepted,290
OBQ05-131,Shoulder & Elbow,shoulder-elbow,Shoulder & Elbow,Suprascapular Neuropathy,Suprascapular Neuropathy,suprascapular-neuropathy,shoulder-elbow,shoulder-elbow-suprascapular-neuropathy,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::shoulder-elbow::suprascapular-neuropathy::accepted,291
OBQ05-132,Trauma,trauma,Trauma,Femoral Shaft Fractures,Femoral Shaft Fractures,femoral-shaft-fractures,trauma,trauma-femoral-shaft-fractures,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::trauma::femoral-shaft-fractures::accepted,292
OBQ05-133,Trauma,trauma,Trauma,Wound & Hardware Infection,Wound & Hardware Infection,wound-and-hardware-infection,trauma,trauma-wound-and-hardware-infection,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::trauma::wound-and-hardware-infection::accepted,293
OBQ05-134,Hand,hand,Hand,Fingertip Amputations & Finger Flaps,Fingertip Amputations & Finger Flaps,fingertip-amputations-and-finger-flaps,hand,hand-fingertip-amputations-and-finger-flaps,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::hand::fingertip-amputations-and-finger-flaps::accepted,294
OBQ05-135,Pediatrics,pediatrics,Pediatrics,Accessory Navicular,Accessory Navicular,accessory-navicular,pediatrics,pediatrics-accessory-navicular,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::pediatrics::accessory-navicular::accepted,295
OBQ05-136,Recon,recon,Recon,TKA Axial Alignment,TKA Axial Alignment,tka-axial-alignment,recon,recon-tka-axial-alignment,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::recon::tka-axial-alignment::accepted,296
OBQ05-137,Shoulder & Elbow,shoulder-elbow,Shoulder & Elbow,Shoulder Hemiarthroplasty,Shoulder Hemiarthroplasty,shoulder-hemiarthroplasty,shoulder-elbow,shoulder-elbow-shoulder-hemiarthroplasty,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::shoulder-elbow::shoulder-hemiarthroplasty::accepted,297
OBQ05-138,Basic Science,basic-science,Basic Science,Bone Matrix,Bone Matrix,bone-matrix,basic-science,basic-science-bone-matrix,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::basic-science::bone-matrix::accepted,298
OBQ05-139,Basic Science,basic-science,Basic Science,Complex Regional Pain Syndrome (CRPS),Complex Regional Pain Syndrome (CRPS),complex-regional-pain-syndrome-crps,basic-science,basic-science-complex-regional-pain-syndrome-crps,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::basic-science::complex-regional-pain-syndrome-crps::accepted,299
OBQ05-14,Trauma,trauma,Trauma,Tibial Plateau Fractures,Tibial Plateau Fractures,tibial-plateau-fractures,trauma,trauma-tibial-plateau-fractures,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::trauma::tibial-plateau-fractures::accepted,300
OBQ05-140,Pediatrics,pediatrics,Pediatrics,Tarsal Coalition,Tarsal Coalition,tarsal-coalition,pediatrics,pediatrics-tarsal-coalition,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::pediatrics::tarsal-coalition::accepted,301
OBQ05-141,Basic Science,basic-science,Basic Science,Orthopaedic Implants,Orthopaedic Implants,orthopaedic-implants,basic-science,basic-science-orthopaedic-implants,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::basic-science::orthopaedic-implants::accepted,302
OBQ05-142,Recon,recon,Recon,TKA Vascular Injury and Bleeding,TKA Vascular Injury and Bleeding,tka-vascular-injury-and-bleeding,recon,recon-tka-vascular-injury-and-bleeding,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::recon::tka-vascular-injury-and-bleeding::accepted,303
OBQ05-143,Basic Science,basic-science,Basic Science,Rheumatoid Arthritis,Rheumatoid Arthritis,rheumatoid-arthritis,basic-science,basic-science-rheumatoid-arthritis,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::basic-science::rheumatoid-arthritis::accepted,304
OBQ05-144,Pathology,pathology,Pathology,Unicameral Bone Cyst,Unicameral Bone Cyst,unicameral-bone-cyst,pathology,pathology-unicameral-bone-cyst,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::pathology::unicameral-bone-cyst::accepted,305
OBQ05-145,Trauma,trauma,Trauma,Distal Femur Fractures,Distal Femur Fractures,distal-femur-fractures,trauma,trauma-distal-femur-fractures,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::trauma::distal-femur-fractures::accepted,306
OBQ05-146,Recon,recon,Recon,Wear & Osteolysis Basic Science,Wear & Osteolysis Basic Science,wear-and-osteolysis-basic-science,recon,recon-wear-and-osteolysis-basic-science,,0.970,FALSE,,Accepted via manual review override.,reviewed,manually_reviewed_valid_topic,orthobullets::recon::wear-and-osteolysis-basic-science::accepted,307
OBQ05-147,Basic Science,basic-science,Basic Science,Bone Grafting,Bone Grafting,bone-grafting,basic-science,basic-science-bone-grafting,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::basic-science::bone-grafting::accepted,308
OBQ05-148,Trauma,trauma,Trauma,Subtrochanteric Fractures,Subtrochanteric Fractures,subtrochanteric-fractures,trauma,trauma-subtrochanteric-fractures,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::trauma::subtrochanteric-fractures::accepted,309
OBQ05-149,Pediatrics,pediatrics,Pediatrics,Osteomyelitis - Pediatric,Osteomyelitis - Pediatric,osteomyelitis-pediatric,pediatrics,pediatrics-osteomyelitis-pediatric,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::pediatrics::osteomyelitis-pediatric::accepted,310
OBQ05-15,Shoulder & Elbow,shoulder-elbow,Shoulder & Elbow,Suprascapular Neuropathy,Suprascapular Neuropathy,suprascapular-neuropathy,shoulder-elbow,shoulder-elbow-suprascapular-neuropathy,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::shoulder-elbow::suprascapular-neuropathy::accepted,311
OBQ05-150,Trauma,trauma,Trauma,Amputations,Amputations,amputations,trauma,trauma-amputations,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::trauma::amputations::accepted,312
OBQ05-151,Basic Science,basic-science,Basic Science,Rheumatoid Arthritis,Rheumatoid Arthritis,rheumatoid-arthritis,basic-science,basic-science-rheumatoid-arthritis,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::basic-science::rheumatoid-arthritis::accepted,313
OBQ05-152,Trauma,trauma,Trauma,Radius and Ulnar Shaft Fractures,Radius and Ulnar Shaft Fractures,radius-and-ulnar-shaft-fractures,trauma,trauma-radius-and-ulnar-shaft-fractures,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::trauma::radius-and-ulnar-shaft-fractures::accepted,314
OBQ05-153,Recon,recon,Recon,TKA Periprosthetic Fracture,TKA Periprosthetic Fracture,tka-periprosthetic-fracture,recon,recon-tka-periprosthetic-fracture,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::recon::tka-periprosthetic-fracture::accepted,315
OBQ05-154,Pathology,pathology,Pathology,Enchondromas,Enchondromas,enchondromas,pathology,pathology-enchondromas,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::pathology::enchondromas::accepted,316
OBQ05-155,Spine,spine,Spine,DISH (Diffuse Idiopathic Skeletal Hyperostosis),DISH (Diffuse Idiopathic Skeletal Hyperostosis),dish-diffuse-idiopathic-skeletal-hyperostosis,spine,spine-dish-diffuse-idiopathic-skeletal-hyperostosis,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::spine::dish-diffuse-idiopathic-skeletal-hyperostosis::accepted,317
OBQ05-156,Pediatrics,pediatrics,Pediatrics,Tarsal Coalition,Tarsal Coalition,tarsal-coalition,pediatrics,pediatrics-tarsal-coalition,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::pediatrics::tarsal-coalition::accepted,318
OBQ05-157,Trauma,trauma,Trauma,Tibial Plafond Fractures,Tibial Plafond Fractures,tibial-plafond-fractures,trauma,trauma-tibial-plafond-fractures,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::trauma::tibial-plafond-fractures::accepted,319
OBQ05-158,Basic Science,basic-science,Basic Science,Ligaments,Ligaments,ligaments,basic-science,basic-science-ligaments,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::basic-science::ligaments::accepted,320
OBQ05-159,Pediatrics,pediatrics,Pediatrics,Leg Length Discrepancy (LLD),Leg Length Discrepancy (LLD),leg-length-discrepancy-lld,pediatrics,pediatrics-leg-length-discrepancy-lld,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::pediatrics::leg-length-discrepancy-lld::accepted,321
OBQ05-16,Pathology,pathology,Pathology,Synovial Sarcoma,Synovial Sarcoma,synovial-sarcoma,pathology,pathology-synovial-sarcoma,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::pathology::synovial-sarcoma::accepted,322
OBQ05-160,Pediatrics,pediatrics,Pediatrics,Pediatric Abuse,Pediatric Abuse,pediatric-abuse,pediatrics,pediatrics-pediatric-abuse,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::pediatrics::pediatric-abuse::accepted,323
OBQ05-161,Trauma,trauma,Trauma,Intertrochanteric Fractures,Intertrochanteric Fractures,intertrochanteric-fractures,trauma,trauma-intertrochanteric-fractures,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::trauma::intertrochanteric-fractures::accepted,324
OBQ05-162,Pediatrics,pediatrics,Pediatrics,Slipped Capital Femoral Epiphysis (SCFE),Slipped Capital Femoral Epiphysis (SCFE),slipped-capital-femoral-epiphysis-scfe,pediatrics,pediatrics-slipped-capital-femoral-epiphysis-scfe,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::pediatrics::slipped-capital-femoral-epiphysis-scfe::accepted,325
OBQ05-164,Hand,hand,Hand,Trigger Finger,Trigger Finger,trigger-finger,hand,hand-trigger-finger,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::hand::trigger-finger::accepted,326
OBQ05-165,Recon,recon,Recon,Prosthetic Joint Infection,Prosthetic Joint Infection,prosthetic-joint-infection,recon,recon-prosthetic-joint-infection,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::recon::prosthetic-joint-infection::accepted,327
OBQ05-166,Knee & Sports,knee-sports,Knee & Sports,Discoid Meniscus,Discoid Meniscus,discoid-meniscus,knee-sports,knee-sports-discoid-meniscus,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::knee-sports::discoid-meniscus::accepted,328
OBQ05-167,Spine,spine,Spine,Lumbar Spinal Stenosis,Lumbar Spinal Stenosis,lumbar-spinal-stenosis,spine,spine-lumbar-spinal-stenosis,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::spine::lumbar-spinal-stenosis::accepted,329
OBQ05-168,Trauma,trauma,Trauma,Calcaneus Fractures,Calcaneus Fractures,calcaneus-fractures,trauma,trauma-calcaneus-fractures,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::trauma::calcaneus-fractures::accepted,330
